#,Category,Question,Files & media,A,B,C,D,Answer
22,Fluids,Castle Geyser at Yellowstone National Park shoots water 250 ft into the air. What is the minimum gauge pressure in psi at the base?,,290 psi,108 psi,245 psi,173 psi,B
23,Surveying,Earthwork for a roadway is cut and filled at the following stations. What is approximately the total volume of earthwork to be cut?,Surveying_23.jpg,"9,000 ft^2","12,500 ft^2","8,450 ft^2","10,500 ft^2",A
24,Envir,Approximate the thickness b of a confined aquifer if it’s transmissivity is 325 sqft/day and it’s hydraulic conductivity is 5.7 ft/day,,60 ft,18 ft,24 ft,55 ft,A
25,Struc,"For the plate shown, find the effect net area for the sake of tension design. The plate is 3/4 inch thick and has holes to accomodate 1/2 inch diameter bolts.",Struc_25.jpg,12.5 in^2,11.2 in^2,20 in^2,10.85 in^2,B
26,Geotech,"A soil boring is taken to a depth of 9 feet. Groundwater is found at 7 feet, and the soil density is found to be 115 pcf. What is the effective vertical stress of the soil at the same elevation as where the soil boring was terminated?",,124.8 psf,1035 psf ,910.2 psf,1150 psf,C
27,Transp,"Determine the approximate load equivalency factor for a 24,000 lbs tandem-axel truck.",,3.03,0,0.26,8.88,C
28,Constr,What does “free float” mean?,,The period during which a construction task can be rescheduled to accommodate additional resource allocation without affecting the critical path.,The duration allocated for non-critical tasks to be completed without requiring additional manpower or resources.,The amount of time a specific task within a project can last without impacting the rest of the project.,None of the above,C
29,Math,"What is the solution to the following differential equation? \frac{dx}{dy} + 2y = 0",,\( y = C_1 e^(-2x) \),\( y = C_1 \sin(2x) \),\( y = C_2 x^2 \),\( y = C_3 e^{2x} \),A
30,Ethics,"Who is defined as “an individual who is qualified to practice engineering by reason of engineering education, training, experience, and examination in the application of engineering principles and the interpretation of engineering data”",,An Engineering Intern,A Professional Engineer,An Engineering Graduate,None of the Above,B
31,Econ,"The cost of manufacturing a product in a workshop is given by C=12,000+0.08P, where P is the number of products manufactured. If each product sells for $5.00, how many items must be produced to break even?",,"1,001","3,333","2,667","2,150",C
32,Statics,A construction crane is lifting a wide flange member as shown in the diagram. Determine the tension force in each of the two cables supporting the load.,Statics_32.jpg,990.1 lb,"1,434 lb",720 lb,553 lb,A
33,Dynamics,"A 4 kg object moves across a frictionless surface at 10 m/s and collides with a stationary 6 kg mass. If the collision is perfectly elastic, calculate the velocity of the moving object and the stationary object after the collision.",,"Velocity of the 4 kg object: 5 m/s
Velocity of the 6 kg object: 5 m/s","Velocity of the 4 kg object after impact: -2 m/s
Velocity of the 6 kg object after impact: 8 m/s","Velocity of the 4 kg object: 10 m/s
Velocity of the 6 kg object: 0 m/s","Velocity of the 4 kg object: -4 m/s
Velocity of the 6 kg object: 12 m/s",B
34,Strength,"A slender steel column with a circular cross-section has a diameter of 50 mm and a length of 3 m. The column is pinned at both ends and made of steel with a Young's modulus E=200 GPa. Using Euler's formula, determine the critical buckling load Pcr for the column. Assume the column is perfectly straight and the load is applied axially.",,810.6 kN,405.3 kN,101.3 kN,202.6 kN,B
35,Materials,"A fragile Alumina sample has a stress intensity factor of 4,250 psi·in^(1/2). Determine the applied tensile stress in psi if the sample has an internal crack with a crack length parameter a=2.5 inches.",,"1,521 psi","1,455 psi","1,517 psi","1,600 psi",C
36,Fluids,A tank is filled with water at height H of 50 ft. A hole is punched in one of the walls at a depth h of 12 ft below the water surface. What is most nearly the distance x from the foot of the tank at which the stream strikes the floor.,Fluids_36.jpg,24 ft,98 ft,37 ft,43 ft,D
37,Surveying,"A surveyor is given the latitude and longitude coordinates for a trapezoidal portion of a parking lot.  In this area of the lot, the length of one degree of latitude is 355,200 ft, and the length of one degree of longitude is 298,165 ft. Find the approximate area of the plot in square feet.",Surveying_37.jpg,"14,500 ft^2","15,000 ft^2","10,000 ft^2","12,000 ft^2",D
38,Envir,"A wastewater sample has a BOD deoxygenation rate constant of 0.25 per day at 20°C. The wastewater treatment plant operates at 30°C, and the temperation correction coefficient is 1.047. Find the deoxygenation rate constant at 30°C.",,0.25/day,0.38/day,0.4/day,0.5/day,C
39,Struc,"A concrete slab is upheld by four short reinforced concrete columns. Given the loading on the concrete slab and assuming that each reinforcing bar is the same size, determine the best size of bar to be used.",Struc_40.jpg,#5,#6,#7,#9,B
40,Geotech,A soil sample is analyzed and has a volume of 764.35 cubic inches with a weight of 49.9 lbs which decreases to 40.2 lbs after being placed in the oven. What is the saturated unit weight of the soil sample if the specific gravity is 3.2 and the void ratio is 0.9?,,150 pcf,120.6 pcf,198.3 pcf,134.65 pcf,D
41,Transp,"A highway has a horizontal curve with a PI of sta 9+03, an intersection angle of 19°50’00”, and a radius of 1,545 ft. Where is PC located on the curve?",,sta 5+66,sta 5+75,sta 6+33,sta 7+17,C
42,Constr,"What does the term ""critical path"" refer to?",,The sequence of tasks that determines the shortest time to complete the project.,The list of tasks requiring the most expensive resources.,The pathway for heavy machinery access on the construction site.,The schedule for safety inspections during the project.,A
43,Math,Evaluate the integral ∫4x+2+ex dx,,\( e^x + 4x + C \),\( e^x + \frac{4^{x+2}}{\ln(4)} + C \),\( x e^x + 16 \cdot 4^x + C \),\( 4x + \frac{2}{\ln(4)} + e^x + C \),D
44,Ethics,"You are a licensed professional engineer (PE) working for a consulting firm. A client requests that you sign and seal engineering drawings for a project you did not personally prepare or supervise. The drawings were prepared by a junior engineer who is not licensed, and you have not had the opportunity to thoroughly review the work due to time constraints. The client insists that your seal is needed urgently to meet a permitting deadline. What should you do, and why?",,Refuse to sign and seal the drawings until you have thoroughly reviewed and verified their accuracy and compliance with applicable codes and standards.,Delegate the review to another unlicensed engineer and then sign and seal the drawings based on their assurance.,"Sign and seal the drawings immediately to meet the client’s deadline, trusting the junior engineer’s work.",Sign and seal the drawings but include a disclaimer that you did not prepare or review them.,A
45,Econ,"A person aims to save for a home down payment, targeting $80,000 in 4 years. How much must she invest each year in a standard index fund with a historical annual return of 8%? Ignore inflation.",,"$17,672.48 ","$20,150.49 ","$15,011.32 ","$20,000 ",A
46,Statics,Find the vertical reactions at each end of the beam in pounds. ,Statics_47.jpg,"R_A = 1,111 lbs
R_B = 389 lbs","R_A = 1,389 lbs
R_B = 111 lbs","R_A = 500 lbs
R_B = 1,000 lbs","R_A = 1,250 lbs
R_B = 250 lbs",B
47,Dynamics,A 3-kg block slides on a frictionless surface under a constant force of 15 N. How long (in seconds) will it take for the block to reach a speed of 12 m/s?,,3.6 seconds,1.2 seconds,4.8 seconds,2.4 seconds,D
48,Strength,"A simply supported beam has a variable distributed load applied to it. What is most nearly the maximum deflection in the beam in inches and how many feet along the beam does the maximum deflection occur? The beam has a Modulus of Elasticity of 29,000 ksi and a Moment of Inertia of 156 in^4. Ignore the beam’s self-weight.",Strength_49.jpg,"v_(max) = -2x10^-2 in, 
x = 10.5 ft","v_(max) = -3.5x10^-5 in, 
x = 6 ft","v_(max) = -7x10^-3 in, 
x = 19 ft","v_(max) = -8x10^-3 in, 
x = 12 ft",D
49,Materials,"For a plain carbon steel sample with a tensile strength of 8,500 psi, calculate its estimated Brinell hardness.",,16.8,17,18.9,20,B
50,Fluids,"A spherical object with a radius of 0.5 meters is fully submerged in a tank of water (density = 1000 kg/m³) and is tethered to the bottom of the tank with a cable. What is most nearly the tension in the cable? The object has a mass of 400 kg. Assume the acceleration due to gravity is 9.8 m/s².",,1100 N,1200 N,1400 N,1500 N,B
